"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"DEFB130",-3.91820661132674,2.55206067230615,-24.2462956907668,5.35326114396446e-30,1.0636394566943e-25,56.6096654309546
"CCDC177",-3.52367084641536,2.61145427303667,-23.8255631283836,1.23502845268895e-29,1.22693901632384e-25,55.8572233307008
"UGT2A1",-2.25674309805475,2.95688880030789,-18.2026156708519,3.33872939725961e-24,2.21124047980504e-20,44.3127955791586
"KLK9",-3.46541687226616,2.79357300779376,-15.059560043452,1.34918019922621e-20,6.70171534460637e-17,36.4153456218954
"LCN6",-3.52218115257746,4.02272326020406,-14.8930764420196,2.1608759640149e-20,8.58688890580241e-17,35.9631917120304
"MFRP",-2.2959002249566,1.72617425979882,-14.3065762154256,1.16636864227441e-19,3.86242975889171e-16,34.3415583978435
"RNASE11",-3.52375819162806,1.71483896071438,-14.1967370743833,1.60690734965451e-19,4.56109173289793e-16,34.0328265976639
"FXYD1",-2.77986745154619,3.88177775257058,-13.6399173215276,8.34505892264501e-19,2.07259969667542e-15,32.4429609917321
"MDGA2",-2.7640105546343,3.38925155530658,-13.5167391973101,1.20774385936643e-18,2.66629586019462e-15,32.0856214388233
"TMEM239",-1.97313972991228,2.5846968109023,-13.3393579488539,2.06361821337158e-18,4.10020302814799e-15,31.5674264795155
"ARHGAP6",-1.51408575771792,1.90896018476335,-13.0297827714706,5.30675596057044e-18,9.58544856187038e-15,30.6527880284466
"ARHGAP20",-1.20125775098286,1.16763731743423,-12.8462187870437,9.34477599740623e-18,1.53972487409682e-14,30.1042664084576
"SOX7",-2.95223180086778,5.56953727467001,-12.8219408778043,1.00741976764098e-17,1.53972487409682e-14,30.031374283961
"TNXB",-2.74104608863894,5.42059081770794,-12.2527518432724,5.99672154475642e-17,8.51063288376895e-14,28.2992687820235
"SYNPO2",-3.09729977553323,4.30063450546801,-12.1714068041269,7.7644355613085e-17,9.68723286996684e-14,28.0480955680605
"RRM2",2.29217279387241,3.6247292696053,12.1699347038417,7.80088207355526e-17,9.68723286996684e-14,28.0435417281707
"LHFP",-1.83146966678686,4.35291331167568,-11.9931349976379,1.37179303070504e-16,1.60330327806344e-13,27.4944642346071
"CLEC3B",-2.92646122247369,3.97961128122052,-11.9575165726234,1.53775682922393e-16,1.69742724665835e-13,27.3833279072933
"FGF10",-2.37251425464324,2.21459628812195,-11.8863135823542,1.93308671075078e-16,1.96280400134962e-13,27.1606407615026
"RAI2",-1.82651228039387,2.62428436103328,-11.8795312029371,1.97574513196399e-16,1.96280400134962e-13,27.1393927406732
"LMOD1",-2.44853389470651,3.77424356371814,-11.706784957861,3.45176053029008e-16,3.2658585703016e-13,26.5960924170777
"C16orf59",1.88657997163927,2.58410975826341,11.6511691730232,4.13434515239332e-16,3.73387744695013e-13,26.4203112760097
"CD34",-1.56819290326561,4.29266798854777,-11.6220705841715,4.54440573675393e-16,3.86133541719028e-13,26.3281737071902
"ZNF788",-1.48863994219107,8.9800188037018,-11.6140733954332,4.6641527008187e-16,3.86133541719028e-13,26.3028313136458
"TMEM236",-1.40233382174071,6.09467073159461,-11.5750850204666,5.29532980759117e-16,4.20851631788116e-13,26.1791562107882
"MYBL2",2.89685013608119,3.08529244874254,11.5309150424435,6.11562640209762e-16,4.67351465320299e-13,26.0387954370351
"NOVA1",-2.40427767325675,2.45375604887569,-11.5180230740779,6.37848237945969e-16,4.69385431101795e-13,25.9977782536242
"ABCA8",-2.33169047719879,3.62372181741415,-11.294946406508,1.32563192757343e-15,9.40677884605588e-13,25.2844808043624
"MYH11",-2.92618689172901,5.44500674788026,-11.2001999069259,1.81214391285074e-15,1.24156853118729e-12,24.9794995674856
"SH3D19",-1.38892569324097,4.72403781966042,-11.1157060520213,2.39710466525167e-15,1.58760241979618e-12,24.706508135919
"PITX1",2.71674179207724,2.95953121959676,11.0971891332594,2.54897110833265e-15,1.6337260306923e-12,24.6465546422712
"KIF4A",1.5135021908724,1.65119492483264,11.0575994185362,2.90714057824063e-15,1.80506175465822e-12,24.5182193724278
"EGFLAM",-1.79250468237274,2.65975050598014,-11.0357042849947,3.12667445128629e-15,1.88254226280628e-12,24.4471540411019
"CPED1",-1.86172422066148,3.14883355095744,-10.9298942387703,4.44878093685112e-15,2.52553537804289e-12,24.1028306830553
"LIMS3",-3.44676943247804,5.18090091629919,-10.9298911567671,4.44882672663452e-15,2.52553537804289e-12,24.10282063218
"OC90",-2.86933967505287,3.89032580179947,-10.9058908222663,4.82025831661449e-15,2.66038090257815e-12,24.024514006796
"TNS1",-1.70804264503708,7.15837197923947,-10.8865030949512,5.14310025446502e-15,2.76184483664772e-12,23.961201743404
"PKMYT1",2.42643224372763,4.08295672503072,10.8408975555965,5.991467183069e-15,3.13274898579994e-12,23.8120784017252
"TK1",2.52686025958479,4.06750800089115,10.8241652317739,6.33708237539873e-15,3.22849973632814e-12,23.7572978329168
"MAB21L1",-1.70047998851108,1.45018382999345,-10.8095488879584,6.65545563057586e-15,3.3059311980978e-12,23.7094148737792
"MEOX2",-1.57164145709377,1.6625989716857,-10.761663128006,7.81633554833891e-15,3.78787246365721e-12,23.552346291963
"MEIS1",-1.66882649999311,3.75376637017242,-10.7517591572265,8.08090932218364e-15,3.82284731720159e-12,23.5198232792557
"SLC7A2",-2.44588395582999,2.79876172847895,-10.731766715639,8.64290395386777e-15,3.99362461998602e-12,23.4541324988934
"ADCY5",-2.14874236046492,2.81046670131515,-10.6823989666605,1.02059711021749e-14,4.60869181429803e-12,23.2916985612093
"PDE2A",-2.01177057393364,3.68449111544935,-10.6528242978332,1.12762931710656e-14,4.97885931146448e-12,23.194238276825
"KL",-1.09172027768907,1.01270423497715,-10.6301070068229,1.21749584021375e-14,5.25878801069719e-12,23.1192990448048
"NTRK2",-2.56070358348665,3.13268904495989,-10.5683909902221,1.4999449777539e-14,6.3409376091473e-12,22.9153762538393
"ANK2",-2.49985770481649,4.27152060045134,-10.4999219657726,1.89162027523534e-14,7.83012567680228e-12,22.6885686281302
"KRT222",-2.29226955183503,2.96207843024212,-10.4821663425415,2.00910894047655e-14,8.14673174251604e-12,22.6296543696837
"CDCA5",2.38817233273949,2.88271865011806,10.4694451105904,2.09779563459145e-14,8.33622029273951e-12,22.5874198609377
"KIF26B",2.20474458324797,2.86349778154059,10.4350675275204,2.35777061732443e-14,9.18559694031748e-12,22.4731834061785
"PPP1R14A",-2.01011217612626,3.5646088527222,-10.4115118763602,2.55448585297598e-14,9.76059219476533e-12,22.3948216812078
"CDRT1",-2.75093327707452,4.7598321319848,-10.3258812192523,3.42028000271711e-14,1.28221779950918e-11,22.1093676804369
"SPC24",1.88348292503146,2.97607450525406,10.2873795406028,3.9010333162458e-14,1.42012480685573e-11,21.9807205778266
"HIST2H3C",3.08112668207966,4.52467361964606,10.277089650293,4.04071224240496e-14,1.42012480685573e-11,21.946307231543
"HIST2H3A",3.08112668207966,4.52467361964606,10.277089650293,4.04071224240496e-14,1.42012480685573e-11,21.946307231543
"RUNX1T1",-1.97658986599511,4.12156989016351,-10.2746875179576,4.07404066590048e-14,1.42012480685573e-11,21.9382716780051
"SOGA3",-1.90957541054192,4.49017490422643,-10.2425530315907,4.54754857553752e-14,1.55784901116129e-11,21.8307071363882
"COL11A1",3.68118442735336,2.98303421498943,10.2116766369591,5.05486948593505e-14,1.70229155620413e-11,21.7272330799773
"FAT4",-1.72831443673723,2.30921403260586,-10.1638439963011,5.95612495047088e-14,1.95261130675216e-11,21.5667019826441
"HIST1H2AG",1.81346578280537,4.08558112170791,10.1619620566836,5.99472996687714e-14,1.95261130675216e-11,21.560380242493
"SVEP1",-1.88266643774299,3.41587785197046,-10.154863507688,6.14263395414445e-14,1.96851603282091e-11,21.5365311478792
"LIFR",-1.97632334767605,3.21300637552791,-10.1425022540628,6.40904435333599e-14,2.02129051200687e-11,21.4949860987761
"DNMBP",-1.37786556931299,2.88136201024985,-10.1314072055646,6.65809246225496e-14,2.067025611446e-11,21.4576806882535
"ITGA7",-1.89652052632981,4.91847135511481,-10.1130726793672,7.09125639878852e-14,2.16763343673122e-11,21.3960006006379
"E2F1",2.05424769705986,2.9312584068606,10.1034936232916,7.32877644917774e-14,2.20629483740473e-11,21.3637588795831
"MAST4",-1.36708403726563,4.81330674571543,-10.0915891198894,7.63518888748207e-14,2.26423235828927e-11,21.3236744317448
"CACNA1G",-1.97338852656572,1.56852766946236,-10.0805844793314,7.92993938473962e-14,2.28691535470457e-11,21.2866046094404
"GOLGA7B",-2.89269405938319,4.89830859133011,-10.0801475222859,7.94187726984826e-14,2.28691535470457e-11,21.2851323878639
"MMP11",3.79559787893416,5.17033343258151,10.0632434273298,8.41790962784155e-14,2.38936351993691e-11,21.2281602864074
"MUC3A",-2.89470302056459,5.25998202795542,-10.043907410193,8.99787874677665e-14,2.51801201154514e-11,21.1629493076481
"CNN1",-2.60771969442994,5.14017647825968,-10.0337212284033,9.31946737724145e-14,2.57178468497792e-11,21.1285780551984
"EGR3",-2.71860797105645,4.54027592616302,-10.0106525227323,1.00913513516699e-13,2.71116664074899e-11,21.0506909157719
"GTSE1",1.87297931560214,2.87091797006833,10.0103292813805,1.01026138017051e-13,2.71116664074899e-11,21.04959909597
"DAAM2",-1.55681640159234,3.8647483358467,-10.0065876791893,1.02339069936169e-13,2.71116664074899e-11,21.0369600829602
"EDNRB",-1.61718165593769,2.34739859620878,-9.98733851978719,1.09370999523868e-13,2.85933209149966e-11,20.9719103928743
"LYVE1",-1.95289981338564,2.32209266831726,-9.96851672780711,1.16718600909903e-13,3.01179465127125e-11,20.9082618728787
"SPRY1",-1.36131122719152,5.29376495253691,-9.96287106555687,1.1901825517327e-13,3.03176116927912e-11,20.889161994154
"SPTBN4",-1.14967719855321,1.56200954947402,-9.9468740522717,1.25785893442252e-13,3.13686522504762e-11,20.8350216687752
"SEMA6A",-1.59819999920759,4.05802201997837,-9.94569025156788,1.26301886357547e-13,3.13686522504762e-11,20.831013995325
"LMNB1",1.85984185273555,4.18780998472386,9.87873300796821,1.59251395555067e-13,3.8803569809853e-11,20.6040633560089
"LAMA2",-1.95221704362741,3.25292154102754,-9.87712112601166,1.60143576647438e-13,3.8803569809853e-11,20.5985933473044
"ABCA10",-2.07299629946342,2.92631114838729,-9.87264514537321,1.62647593784654e-13,3.89354824205698e-11,20.58340225391
"ADIRF",-2.28798075149957,5.27945287988142,-9.8494206878216,1.76289105140487e-13,4.16986694051946e-11,20.5045424717397
"ATOH8",-1.87633064565864,2.3984930483349,-9.84309058750646,1.80203696632753e-13,4.21231440987784e-11,20.4830372838025
"PLK1",2.21317263243177,3.43597015759503,9.78654898092988,2.19304684710886e-13,5.06670323316348e-11,20.2907405399576
"PER1",-1.97777952051959,6.64950809917293,-9.7754461277051,2.27936127751128e-13,5.20558956584732e-11,20.2529361088299
"LDB2",-2.08540136520412,3.84832707140941,-9.72272760682104,2.73841659558867e-13,6.18290901565356e-11,20.0732380164491
"TSPAN7",-1.91565223424689,2.6210667028419,-9.71741173149394,2.78960141513861e-13,6.22770679970664e-11,20.0551003149584
"IGFBP6",-2.26394106286443,4.10709624001712,-9.71302864276223,2.83253026693828e-13,6.25328265264408e-11,20.040142821298
"CBX2",2.21825210874755,2.87788309128346,9.70135937965242,2.95010021896005e-13,6.44126826928761e-11,20.0003101435673
"TMEM132A",2.38175615166843,5.78920571069524,9.69037153158326,3.06530431830069e-13,6.62005777177353e-11,19.962789156621
"ZNF709",-1.79772816527828,5.26968519999341,-9.6849782393113,3.12350181978334e-13,6.67321050078228e-11,19.944367231584
"HIST1H2AB",2.53363098025994,3.73850154656891,9.67910257438358,3.18817441634552e-13,6.68521125249226e-11,19.9242938694942
"PPAP2B",-1.57672686364628,4.99725830334018,-9.67727941394016,3.20851508996879e-13,6.68521125249226e-11,19.9180645015324
"FAM47E-STBD1",-2.44128516658762,5.12296385637515,-9.67536114396318,3.2300582829496e-13,6.68521125249226e-11,19.9115097532199
"MFAP4",-2.78888975832915,5.60557872685848,-9.65267942662667,3.49613027448345e-13,7.16130024986718e-11,19.8339742324037
"SDPR",-2.42698355519839,2.42009612016463,-9.62975488991423,3.78754509196172e-13,7.63405704306477e-11,19.7555491309954
"FHL1",-3.00740963764281,5.26453845499161,-9.62853115357516,3.80377294913389e-13,7.63405704306477e-11,19.751361037435
